feature,importance
"City_Rajula, India",6.650941160744311e-05
"City_Hardoi , India",6.650201077276992e-05
"City_Gudivada, India",6.6191410709338e-05
"City_Surandai, India",6.578476465346359e-05
"City_Zaidpur, India",6.561658068520221e-05
"City_Tiruchengode, India",6.539643860326354e-05
"City_Pen, India",6.507190947172586e-05
"City_Shajapur, India",6.506749346752049e-05
"City_Vadakkuvalliyur, India",6.479786817404779e-05
"City_Rameshwaram, India",6.475093262253179e-05
"City_Vidisha, India",6.447714727029866e-05
"City_Kurnool, India",6.435992373556568e-05
"City_Pithoragarh, India",6.427045372082523e-05
"City_Jammu, India",6.400727699374498e-05
"City_Tanda, India",6.336130361520388e-05
"City_Vrindavan, India",6.331973858667508e-05
"City_Ashok Nagar, India",6.331673755113646e-05
"City_Varkala, India",6.31754458841022e-05
"City_Gurgaon, India",6.31531409402752e-05
"City_Sasaram, India",6.296653801784163e-05
"City_Pali, India",6.29276624210322e-05
"City_Lalitpur, India",6.25581013053586e-05
"City_Rajahmundry, India",6.23046516587284e-05
"City_Rosera, India",6.197533266867738e-05
"City_Naila Janjgir, India",6.175180109925709e-05
"City_Savanur, India",6.158438971802873e-05
"City_Parbhani, India",6.143093063527338e-05
"City_Keshod, India",6.130638976275745e-05
"City_Palia Kalan, India",6.107784385243754e-05
"City_Chittoor, India",6.097777543527935e-05
"City_Udaipurwati, India",6.0866250840397854e-05
"City_Nagda, India",6.081735063446401e-05
"City_Khair, India",6.079820698258644e-05
"City_Rahuri, India",6.07372017657197e-05
"City_Sadasivpet, India",6.068042370185175e-05
"City_Pasan, India",6.0649048511375365e-05
"City_Sangli, India",6.043422431115802e-05
"City_Medinipur, India",5.9997931656930424e-05
"City_Imphal, India",5.968438017971273e-05
"City_Byasanagar, India",5.8865332871359254e-05
"City_Khanna, India",5.883189280483351e-05
"City_Darbhanga, India",5.881694550827013e-05
"City_Saunda, India",5.880063965737933e-05
"City_Diphu, India",5.8511502065307625e-05
"City_Port Blair, India",5.828697632813901e-05
"City_Tadpatri, India",5.8187767939247414e-05
"City_Jaggaiahpet, India",5.781009052862031e-05
"City_Nanpara, India",5.7697230813250416e-05
"City_Mehkar, India",5.763836045915057e-05
"City_Fatehpur Sikri, India",5.692743981738365e-05
"City_Tiptur, India",5.6868686241838343e-05
"City_Sholingur, India",5.676186713975428e-05
"City_Barnala, India",5.6650581652164125e-05
"City_Fatehabad, India",5.622031540822319e-05
"City_Raxaul Bazar, India",5.614605735750902e-05
"City_Ranavav, India",5.613779264048946e-05
"City_Roorkee, India",5.597287963014703e-05
"City_Patna, India",5.5930373509646824e-05
"City_Firozabad, India",5.5807711240847857e-05
"City_Sivakasi, India",5.579555176787991e-05
"City_Rabkavi Banhatti, India",5.562082688975087e-05
"City_Lal Gopalganj Nindaura, India",5.550437921794864e-05
"City_Oddanchatram, India",5.544795635399325e-05
"City_Noorpur, India",5.5381130537350525e-05
"City_Karaikal, India",5.515790766724546e-05
"City_Ballari, India",5.511398611654115e-05
"City_Sardarshahar, India",5.496339446639195e-05
"City_Amroha, India",5.443833954575991e-05
"City_Palasa Kasibugga, India",5.4092672053704194e-05
"City_Ramdurg, India",5.3973240782477615e-05
"City_Zamania, India",5.3971137042803485e-05
"City_Siana, India",5.391763131221886e-05
"City_Lakshmeshwar, India",5.364616620324698e-05
